# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
dao jian shen yu 	刀劍神域	c=1 d=1 t=9610
dao le 	倒了	c=1 d=1 t=4298
dao le 	到了	c=2 d=1.67368 t=2035
dao me 	到麼	c=1 d=1 t=4218
dao qi 	到期	c=1 d=0.00614212 t=12432
dao qi le 	到期了	c=1 d=0.0617291 t=12432
dao qian 	到錢	c=1 d=1 t=10815
dao shi 	倒是	c=0 d=0.1 t=5302
dao shi hou 	到時候	c=2 d=0.1 t=9049
dao zhi 	導致	c=6 d=1.0139 t=12020
de 	得	c=4 d=1.00012 t=9857
de 	德	c=1 d=1 t=8304
de 	的	c=427 d=6.11413 t=12432
de ba 	的吧	c=1 d=1 t=1797
de dao 	得到	c=2 d=0.0710054 t=12432
de di fang 	的地方	c=1 d=1 t=5410
de dong xi 	的東西	c=1 d=1 t=2155
de guo 	德國	c=1 d=1 t=10465
de hua 	的話	c=17 d=1.9941 t=12432
de le 	得了	c=4 d=1 t=10567
de ma 	的嗎	c=1 d=0.0482182 t=12432
de me 	的麼	c=21 d=1.06682 t=12432
de ne 	的呢	c=1 d=1 t=11343
de qian 	的錢	c=2 d=0.130654 t=11739
de ren 	得人	c=1 d=1 t=9987
de ren 	的人	c=6 d=1.00345 t=12417
de ren a 	的人啊	c=1 d=1 t=2334
de she qu 	的社區	c=1 d=1 t=9738
de shen 	得神	c=4 d=1.00039 t=10908
de shen me 	的甚麼	c=1 d=1 t=6241
de shi 	的事	c=4 d=2.30761 t=5299
de shi hou 	的時候	c=1 d=1 t=6005
de shi qing 	的事情	c=1 d=1 t=11489
de shou ji 	的手機	c=1 d=1 t=3786
de shuo 	的說	c=2 d=1.01278 t=9161
de yang zi 	的樣子	c=1 d=1 t=11810
de yi si 	的意思	c=1 d=1 t=6906
dei 	得	c=0 d=0.00227089 t=12432
den xia 	㩐下	c=1 d=1 t=2055
deng 	等	c=7 d=0.0639225 t=12432
deng hou 	等候	c=3 d=0.0880368 t=12432
deng lu 	登錄	c=5 d=0.752252 t=12432
deng ni 	等你	c=1 d=1 t=11019
deng pao 	燈泡	c=2 d=1.99501 t=6862
deng si 	等死	c=1 d=1 t=6888
deng ta 	燈塔	c=1 d=1 t=7171
deng wo 	等我	c=2 d=1 t=11754
deng xia 	等下	c=18 d=1.90375 t=12432
deng zhe 	等着	c=1 d=0.104427 t=10782
di 	低	c=2 d=0.00166557 t=12432
di 	地	c=1 d=0.00156858 t=12432
di 	第	c=5 d=2.46043 t=4412
di ban ben 	低版本	c=3 d=0.138581 t=6528
di ban ben de 	低版本的	c=1 d=1 t=6529
di duan 	低端	c=1 d=0.570011 t=5860
di duan ji 	低端機	c=2 d=1.99005 t=5863
di er 	第二	c=1 d=1 t=3940
di fang 	地方	c=4 d=1.00896 t=10580
di gui 	遞歸	c=2 d=1.97531 t=11311
di luo 	低落	c=1 d=1 t=11056
di pei 	低陪	c=1 d=1 t=4352
di qing shang 	低情商	c=1 d=1 t=7431
di qiu 	地球	c=2 d=1.05079 t=6359
di qu 	地區	c=1 d=1 t=1609
di que 	的確	c=1 d=1 t=8315
di san duan 	地三段	c=1 d=0.0157644 t=12432
di wei 	地位	c=1 d=1 t=10540
di xia 	低下	c=2 d=1.00154 t=4095
di xia 	地下	c=1 d=1 t=7160
di ya 	低壓	c=1 d=1 t=11174
di yi 	第一	c=3 d=0.0361528 t=12432
di yi bu 	第一部	c=1 d=1 t=4599
di yi dai 	第一代	c=1 d=1 t=7055
di yi ge 	第一個	c=3 d=1 t=7729
di yi ji 	第一集	c=3 d=1 t=7524
di zhi 	地址	c=2 d=1.87372 t=10919
dia 	嗲	c=0 d=0.1 t=7678
dian 	電	c=1 d=0.436049 t=12432
dian 	點	c=34 d=0.551563 t=12432
dian bao 	電報	c=5 d=3.20106 t=7638
dian chi 	電池	c=3 d=1.26866 t=3210
dian dian 	點點	c=1 d=1 t=4901
dian feng 	顛瘋	c=1 d=1 t=5813
dian hua 	電話	c=1 d=1 t=3371
dian ji 	電機	c=1 d=1 t=4259
dian ji 	點擊	c=4 d=1.00067 t=12242
dian kai 	點開	c=2 d=1 t=8061
dian nao 	電腦	c=12 d=1.26244 t=12432
dian shang 	電商	c=2 d=1.9802 t=7443
dian ying 	電影	c=1 d=1 t=7363
dian yuan 	電源	c=1 d=1 t=7953
diao 	吊	c=1 d=0.0330412 t=12432
diao 	掉	c=1 d=0.313486 t=12432
diao le 	掉了	c=2 d=0.239309 t=12432
ding 	丁	c=1 d=1 t=3244
ding duo 	頂多	c=1 d=1 t=1378
ding shi 	定時	c=1 d=1 t=7537
ding yi 	定義	c=1 d=1 t=1435
ding yue 	訂閱	c=1 d=1 t=12217
ding zhi 	定製	c=1 d=1 t=11955
diu 	丟	c=0 d=0.1 t=12006
diu diu 	丟丟	c=1 d=1 t=2231
diu guo lai 	丟過來	c=1 d=1 t=12007
dong 	動	c=1 d=1 t=9848
dong 	懂	c=1 d=1.03247 t=7879
dong 	董	c=2 d=1.99501 t=7063
dong de 	懂得	c=1 d=0.166127 t=12432
dong fang 	東方	c=4 d=1.00012 t=4836
dong fang zhong 	東方衆	c=1 d=1 t=2867
dong hua 	動畫	c=2 d=1.00019 t=3492
dong li 	動力	c=1 d=1 t=7450
dong man 	動漫	c=3 d=1.3379 t=7511
dong man li 	動漫裏	c=1 d=1 t=3445
dong neng 	動能	c=2 d=1.97045 t=10843
dong wu 	動物	c=1 d=1 t=1793
dong xi 	東西	c=28 d=1.32731 t=12432
dong xi a 	東西啊	c=1 d=1 t=4302
dong xi ba 	東西吧	c=1 d=1 t=4110
dou 	抖	c=1 d=1 t=4140
dou 	都	c=50 d=0.45301 t=12432
dou bu 	都不	c=1 d=1 t=1600
dou gen 	都跟	c=1 d=1 t=1312
dou he 	都和	c=1 d=1 t=10294
dou hui 	都會	c=1 d=1 t=4973
dou ke yi 	都可以	c=1 d=1 t=5759
dou mei 	都沒	c=2 d=1.01174 t=6160
dou neng 	都能	c=2 d=1.05502 t=9123
dou pa 	都怕	c=1 d=1 t=4609
dou shi 	都是	c=15 d=0.284268 t=12432
dou shi 	鬥士	c=0 d=0.00987662 t=12432
dou si le 	都死了	c=1 d=1 t=7178
dou yao 	都要	c=2 d=1 t=7695
dou yin 	抖音	c=2 d=0.172045 t=12432
dou you 	都有	c=1 d=1 t=11993
dou zai 	都在	c=4 d=0.856415 t=12432
du 	度	c=1 d=1 t=11962
du li 	獨立	c=3 d=1.86052 t=7274
du zhu 	堵住	c=2 d=1.29671 t=10609
duan 	斷	c=1 d=1 t=11161
duan 	段	c=1 d=1 t=7049
duan 	短	c=2 d=1.97045 t=11266
duan ding 	斷定	c=1 d=1 t=11426
duan xin 	短信	c=1 d=1 t=3343
dui 	堆	c=2 d=1 t=9960
dui 	對	c=24 d=0.702107 t=12432
dui a 	對啊	c=2 d=1 t=11945
dui ba 	對吧	c=9 d=1.17499 t=8109
dui bu dui 	對不對	c=1 d=1 t=5127
dui wo 	對我	c=1 d=1 t=11607
dui yu 	對於	c=2 d=1.00002 t=9149
duo 	多	c=10 d=0.0526021 t=12432
duo ba an 	多巴胺	c=1 d=1 t=11153
duo bang 	多幫	c=2 d=0.0608101 t=12432
duo da 	多大	c=4 d=1 t=11973
duo da de 	多大的	c=1 d=1 t=2939
duo deng hui 	多等會	c=1 d=1 t=6227
duo duo 	多多	c=1 d=0.463013 t=12432
duo ge 	多個	c=1 d=1 t=10739
duo jiu 	多久	c=3 d=1 t=8871
duo kan 	多看	c=1 d=1 t=9255
duo le 	多了	c=8 d=0.7121 t=12432
duo me 	多麼	c=2 d=1.00008 t=8344
duo ou 	奪偶	c=1 d=1 t=2084
duo ren 	多人	c=1 d=1 t=5247
duo shao ge 	多少個	c=1 d=1 t=3037
duo shao qian 	多少錢	c=1 d=1 t=7693
duo shua 	多刷	c=1 d=1 t=10880
duo wan 	多玩	c=1 d=1 t=5327
duo xian 	多閒	c=1 d=1 t=11648
duo yue 	多月	c=1 d=1 t=11633
e 	呃	c=70 d=3.87076 t=12432
e si 	餓死	c=0 d=0.00587185 t=12432
e si de 	餓死的	c=1 d=0.0590129 t=12432
e xin 	噁心	c=2 d=1.06721 t=2361
en 	嗯	c=1 d=1 t=6283
en 	恩	c=42 d=1.5672 t=12432
er 	二	c=4 d=0.0158434 t=12432
er 	而	c=2 d=0.616168 t=12432
er bu shi 	而不是	c=4 d=2.03072 t=6731
er ci 	二次	c=0 d=0.1 t=5977
er ci yuan 	二次元	c=1 d=1 t=5978
er ge 	二個	c=1 d=1 t=4275
er ji 	耳機	c=2 d=1.99501 t=4792
er ni 	而你	c=1 d=0.637628 t=12432
er qie 	而且	c=12 d=1.73526 t=12432
er shi 	而是	c=3 d=1.00011 t=8698
er tong 	兒童	c=3 d=1.956 t=10809
er yi 	而已	c=3 d=1.42956 t=7847
fa 	法	c=1 d=1 t=5199
fa 	發	c=11 d=1.81618 t=12256
fa biao 	發表	c=1 d=1 t=11527
fa bu 	發佈	c=1 d=1 t=2490
fa bu hui 	發佈會	c=2 d=1.00013 t=6942
fa cuo 	發錯	c=0 d=0.1 t=6113
fa cuo le 	發錯了	c=1 d=1 t=6114
fa da 	發達	c=1 d=1 t=10654
fa de 	發的	c=1 d=1 t=5138
fa fang 	發放	c=1 d=1 t=2738
fa ge 	發個	c=1 d=1 t=4210
fa le 	發了	c=2 d=1.90032 t=6071
fa lv 	法律	c=3 d=0.655864 t=12432
fa ming 	發明	c=1 d=1 t=9654
fa na 	發那	c=1 d=1 t=6126
fa ni 	發你	c=1 d=1 t=6224
fa sheng 	發生	c=5 d=1 t=12432
fa song 	發送	c=0 d=0.1 t=7537
fa song de 	發送的	c=1 d=1 t=7538
fa wan 	發完	c=1 d=1 t=2646
fa wo 	發我	c=3 d=1.08213 t=6151
fa xia 	發下	c=4 d=1 t=11380
fa xian 	發現	c=1 d=1 t=12398
fa xiao xi 	發消息	c=1 d=1 t=4551
fa ya 	發芽	c=1 d=1 t=10104
fa yan 	發言	c=3 d=0.103312 t=12432
fa zhi 	閥值	c=1 d=1 t=9596
fan 	煩	c=2 d=1 t=8404
fan 	番	c=2 d=0.557106 t=12432
fan 	飯	c=6 d=0.12317 t=11794
fan bo 	反駁	c=1 d=1 t=10208
fan dui 	反對	c=1 d=1.06561 t=10702
fan er 	凡爾	c=1 d=1 t=3322
fan gai 	翻蓋	c=2 d=1.9802 t=3447
fan guo 	翻過	c=1 d=1 t=7399
fan hui 	反悔	c=2 d=1.90032 t=2630
fan qiang 	翻牆	c=8 d=0.71177 t=12432
fan qie 	番茄	c=1 d=1 t=5006
fan ren 	煩人	c=0 d=0.1 t=6045
fan ren de 	煩人的	c=1 d=1 t=6046
fan ti 	繁體	c=1 d=1 t=1995
fan yi 	翻譯	c=5 d=2.01261 t=8465
fan yi a 	翻譯啊	c=1 d=1 t=8466
fan ying 	反應	c=2 d=1 t=11162
fan zheng 	反正	c=9 d=1.12747 t=12271
fan zhi 	繁殖	c=0 d=0.157695 t=10660
fan zhi lian 	繁殖戀	c=1 d=1 t=10551
fan zui 	犯罪	c=1 d=1 t=1603
fang 	房	c=1 d=1 t=5952
fang 	放	c=2 d=0.0584257 t=12432
fang 	方	c=1 d=1 t=9633
fang 	防	c=1 d=1 t=4196
fang ai 	妨礙	c=2 d=1.98511 t=12037
fang an 	方案	c=2 d=1.8883 t=12432
fang bian 	方便	c=3 d=1 t=11749
fang chen mi 	防沉迷	c=1 d=1 t=11135
fang dao 	放到	c=1 d=1 t=7917
fang de 	放的	c=0 d=0.1 t=10041
fang de shi 	放的是	c=1 d=1 t=10042
fang fa 	方法	c=1 d=1 t=2994
fang fang 	方方	c=2 d=1.93239 t=10301
fang fu 	彷彿	c=0 d=0.026982 t=12432
fang huo 	防火	c=1 d=1 t=7393
fang jia 	放假	c=1 d=1 t=3259
fang le 	放了	c=1 d=1 t=8669
fang mian 	方面	c=2 d=1.956 t=10749
fang qi 	放棄	c=1 d=0.447088 t=12432
fang qi 	放氣	c=2 d=0.819262 t=12432
fang shan 	房山	c=1 d=1 t=7415
fang shi 	方式	c=2 d=1.00155 t=8907
fang song 	放鬆	c=3 d=1 t=8258
fang wen 	訪問	c=2 d=1 t=10938
fang xiang 	方向	c=1 d=1 t=11520
fang xue 	放學	c=1 d=1.09005 t=8871
fei 	斐	c=1 d=1 t=2020
fei 	飛	c=1 d=1 t=2986
fei chang 	非常	c=5 d=1.02204 t=12205
fei le 	飛了	c=1 d=1 t=2971
fei xun 	斐訊	c=1 d=1 t=2019
fei yao 	非要	c=3 d=0.174645 t=12432
fei yu 	鯡魚	c=4 d=3.9407 t=8888
fen 	分	c=2 d=0.32091 t=9151
fen bu qing 	分不清	c=2 d=1.02678 t=4440
fen cha 	分叉	c=1 d=1 t=10889
fen fen zhong 	分分鐘	c=1 d=1 t=9152
fen gei 	分給	c=1 d=1 t=8010
fen mi 	分泌	c=1 d=1 t=11159
fen si 	粉絲	c=1 d=1 t=11483
fen tai 	酚酞	c=0 d=0.1 t=11155
fen xiang 	分享	c=3 d=0.0516851 t=12432
fen xiang xia 	分享下	c=1 d=0.519442 t=12432
fen you 	分憂	c=1 d=1 t=6025
fen zhong 	分鐘	c=0 d=0.1 t=9151
feng 	瘋	c=1 d=1 t=8526
feng 	風	c=1 d=1 t=9043
feng bi 	封閉	c=1 d=1 t=2400
feng ci 	諷刺	c=1 d=1 t=8140
feng diao 	瘋掉	c=1 d=1 t=1861
feng fu 	豐富	c=1 d=0.026982 t=12432
feng hao 	封號	c=0 d=0.1 t=5539
feng hao le 	封號了	c=1 d=1 t=5540
feng le 	封了	c=1 d=0.755784 t=12432
feng le 	瘋了	c=1 d=1 t=12139
feng li 	鳳梨	c=1 d=1 t=1697
feng sha 	封殺	c=1 d=1 t=5550
fu 	夫	c=1 d=1 t=10128
fu 	服	c=1 d=1 t=9410
fu gai 	覆蓋	c=1 d=1 t=2570
fu huo 	復活	c=1 d=1 t=7561
fu mu 	父母	c=5 d=1 t=8998
fu po 	富婆	c=2 d=0.427415 t=12432
fu wu 	服務	c=5 d=0.468799 t=12432
fu wu de 	服務的	c=1 d=1 t=5671
fu wu qi 	服務器	c=3 d=1.09442 t=11300
fu wu yuan 	服務員	c=1 d=1 t=8184
fu xi 	複習	c=3 d=2.37052 t=12432
fu you 	富有	c=1 d=1 t=4822
fu ze 	負責	c=1 d=0.00771365 t=12432
fu ze me 	負責麼	c=1 d=1 t=11485
fu zhi 	複製	c=1 d=1 t=9208
gai bian 	改變	c=2 d=1.00196 t=11689
gai bu 	概不	c=1 d=1 t=3146
gai cheng 	改成	c=1 d=1 t=4629
gai de 	該得	c=1 d=1 t=5567
gai ge 	改個	c=1 d=1 t=2173
gai jin 	改進	c=2 d=1.52729 t=10373
gan 	幹	c=3 d=0.50409 t=12432
gan 	惍	c=1 d=1 t=2749
gan 	感	c=3 d=1.00053 t=11458
gan 	淦	c=4 d=1 t=12130
gan 	螒	c=1 d=0.146607 t=12432
gan chu 	感觸	c=1 d=1 t=11644
gan dao 	感到	c=2 d=1.38289 t=7284
gan dian 	幹點	c=0 d=0.1 t=3267
gan dian sha 	幹點啥	c=1 d=1 t=3268
gan dong 	感動	c=1 d=1 t=6407
gan ga 	尷尬	c=3 d=1 t=11265
gan jue 	感覺	c=15 d=0.368057 t=12432
gan le 	乾了	c=1 d=1 t=1903
gan ma 	幹嘛	c=1 d=1 t=6147
gan sha 	幹啥	c=3 d=1.956 t=9128
gan shang 	趕上	c=1 d=1 t=5634
gan shou 	感受	c=4 d=1.00001 t=12009
gan si 	乾死	c=0 d=0.1 t=8846
gan si le 	乾死了	c=1 d=1 t=8847
gan wu 	感悟	c=1 d=1 t=11996
gan xie 	感謝	c=2 d=1 t=6577
gang 	剛	c=2 d=1.04159 t=9504
gang ao tai 	港澳臺	c=2 d=0.571209 t=12432
gang ba 	崗巴	c=0 d=0.00227089 t=12432
gang ba dei 	崗巴得	c=1 d=0.0228227 t=12432
gang gang 	剛剛	c=5 d=1.24293 t=11074
gang hao 	剛好	c=1 d=1 t=9491
gang huan 	剛換	c=1 d=1 t=11108
gang mai 	剛買	c=1 d=1 t=12268
gang qin 	鋼琴	c=1 d=1 t=9200
gao 	搞	c=4 d=0.0187308 t=12432
gao 	高	c=4 d=1.00026 t=10009
gao bu dong 	搞不懂	c=1 d=1 t=9368
gao chu 	搞出	c=1 d=1 t=7028
gao dao 	搞到	c=2 d=1.3379 t=7975
gao de 	搞得	c=3 d=1.00013 t=8224
gao du 	高度	c=2 d=1 t=9888
gao feng le 	搞瘋了	c=1 d=1 t=7270
gao hao 	搞好	c=1 d=1 t=4048
gao ji zhu shou 	搞機助手	c=1 d=0.188247 t=12432
gao shang 	告上	c=1 d=1 t=5730
gao shen me 	搞什麼	c=1 d=1 t=7869
gao su 	告訴	c=1 d=0.0214381 t=12432
gao su wo 	告訴我	c=1 d=1 t=8750
gao su wo men 	告訴我們	c=1 d=0.215456 t=12432
gao xiao 	高效	c=2 d=1 t=12342
gao xue 	高血	c=1 d=1 t=10110
ge 	個	c=22 d=0.0183587 t=12432
ge 	哥	c=4 d=0.467666 t=12432
ge bie 	個別	c=2 d=1 t=8485
ge ci 	歌詞	c=1 d=1 t=12092
ge ge 	哥哥	c=2 d=0.509132 t=12432
ge qu 	各區	c=1 d=0.831104 t=12432
ge ren 	個人	c=1 d=1 t=9075
ge sha 	個啥	c=1 d=0.0275983 t=12432
ge ti 	個體	c=1 d=1 t=8476
ge ti hu 	個體戶	c=1 d=1 t=9380
ge yang 	各樣	c=1 d=1 t=12049
ge yue 	個月	c=1 d=1 t=3026
ge zhong 	各種	c=1 d=1 t=12048
gei 	給	c=6 d=1 t=12125
gei chu 	給出	c=1 d=1 t=8602
gei ni 	給你	c=6 d=1 t=10770
gei wo 	給我	c=3 d=0.794534 t=12432
gen 	跟	c=1 d=1 t=1379
gen ben 	根本	c=4 d=1.05642 t=12022
gen duo 	跟多	c=1 d=1 t=3796
gen ge 	跟個	c=2 d=1.00076 t=3836
gen ju 	根據	c=2 d=1.00103 t=9972
gen wo 	跟我	c=1 d=1 t=9787
gen wo shuo 	跟我說	c=1 d=1 t=10925
geng 	更	c=8 d=1.00052 t=12341
geng bu ke neng 	更不可能	c=1 d=1 t=9605
geng bu neng 	更不能	c=1 d=1 t=9293
geng da 	更大	c=1 d=1 t=3785
geng duo 	更多	c=1 d=1 t=2848
geng gao 	更高	c=1 d=1 t=7082
geng hao 	更好	c=7 d=0.309195 t=12432
geng he kuang 	更何況	c=2 d=1.00003 t=4309
geng jia 	更加	c=1 d=1 t=7117
geng shi 	更是	c=2 d=1.00254 t=10509
geng xi huan 	更喜歡	c=1 d=1 t=3641
geng xin 	更新	c=2 d=0.1 t=11352
geng xin le 	更新了	c=1 d=1 t=11353
geng yuan yi 	更願意	c=1 d=1 t=2515
gong 	共	c=1 d=1 t=8961
gong 	宮	c=1 d=1 t=3574
gong 	攻	c=1 d=1 t=4621
gong chan 	共產	c=1 d=1 t=12152
gong chen 	拱辰	c=1 d=1 t=7545
gong gong 	公共	c=3 d=0.108609 t=12432
gong ji 	攻擊	c=1 d=1 t=10114
gong ji xing 	攻擊性	c=1 d=1 t=4902
gong ju 	工具	c=9 d=1.00025 t=12381
gong ju ren 	工具人	c=1 d=1 t=8073
gong kai 	公開	c=1 d=1 t=1400
gong neng 	功能	c=1 d=1.03716 t=4057
gong shi 	公式	c=2 d=1.95123 t=10854
gong xin li 	公信力	c=1 d=1 t=11677
gong zi 	工資	c=1 d=1 t=9896
gong zuo 	工作	c=1 d=1 t=5007
gou 	夠	c=1 d=1 t=4676
gou 	狗	c=10 d=1.07226 t=11012
gou gou 	狗狗	c=1 d=1 t=7759
gou shi 	狗屎	c=1 d=1 t=5177
gou tong 	溝通	c=1 d=1 t=10213
gou wu 	購物	c=1 d=0.535261 t=12432
gou yong 	夠用	c=3 d=1.38481 t=11312
gu dai 	古代	c=3 d=2.73833 t=10547
gu ge 	谷歌	c=7 d=0.728206 t=12432
gu gong 	故宮	c=1 d=0.066205 t=12432
gu jian 	固件	c=2 d=1.956 t=2685
gu tou 	骨頭	c=3 d=2.9458 t=10199
gu zhang 	故障	c=1 d=1 t=3086
gua 	掛	c=1 d=1 t=8717
gua zhe 	掛着	c=1 d=1 t=7651
guai wu 	怪物	c=2 d=1.97045 t=7173
guan 	管	c=1 d=0.106506 t=2772
guan 	關	c=5 d=1.00047 t=10649
guan bao 	管飽	c=1 d=1 t=6383
guan bi 	關閉	c=1 d=1 t=4254
guan diao 	關掉	c=1 d=1 t=4760
guan fang 	官方	c=1 d=0.159905 t=2771
guan fang de 	官方的	c=1 d=1 t=2772
guan jia 	管家	c=1 d=1 t=4238
guan jia li 	關家裏	c=1 d=1 t=9095
guan jian 	關鍵	c=1 d=1 t=4381
guan kan 	觀看	c=1 d=0.341298 t=12432
guan le 	關了	c=1 d=1 t=6280
guan li 	管理	c=5 d=0.204948 t=12432
guan li a 	管理啊	c=1 d=1 t=6499
guan li qi 	管理器	c=2 d=0.422031 t=12432
guan li shang 	管理上	c=1 d=1 t=5174
guan lian 	關聯	c=1 d=1 t=2154
guan shang 	觀賞	c=1 d=1 t=7216
guan ta 	管他	c=1 d=1 t=9932
guan tou 	罐頭	c=4 d=3.9407 t=8889
guan wang 	官網	c=1 d=1 t=9825
guan xi 	關係	c=11 d=0.394554 t=12432
guan xi me 	關係麼	c=1 d=1 t=2858
guan xin bing 	冠心病	c=1 d=1 t=10106
guan yu 	關於	c=3 d=1.00084 t=7656
guan zhu 	關注	c=2 d=1 t=10777
guang 	光	c=1 d=1 t=9833
guang gao 	廣告	c=2 d=1.99005 t=7412
guang ming 	光明	c=1 d=1 t=5500
guang ying 	光影	c=1 d=1 t=9837
gui 	貴	c=1 d=0.0591555 t=12432
gui 	鬼	c=4 d=1.10258 t=9901
gui ding 	規定	c=1 d=1 t=3451
gui lv 	規律	c=1 d=1 t=1840
gui ya chuang 	鬼牙牀	c=1 d=1 t=9902
guo 	國	c=3 d=1 t=11546
guo 	過	c=24 d=0.931406 t=11416
guo chan 	國產	c=1 d=1 t=7239
guo cheng 	過程	c=1 d=1 t=11008
guo de 	過的	c=1 d=0.0227089 t=12432
guo hou 	過後	c=1 d=1 t=11992
guo ji 	國際	c=1 d=0.402524 t=12432
guo ji 	過激	c=2 d=0.0133989 t=12432
guo ji de 	過激的	c=1 d=1 t=1510
guo ji le 	過激了	c=1 d=0.13466 t=12432
guo jia 	國家	c=3 d=1.00003 t=10231
guo lai 	過來	c=1 d=0.0441572 t=12432
guo nei 	國內	c=3 d=0.175811 t=9985
guo qi 	過期	c=1 d=1 t=8641
guo qu 	過去	c=1 d=1 t=9938
guo ran 	果然	c=2 d=1 t=9835
guo wai 	國外	c=2 d=1.00014 t=6645
guo yu 	過於	c=2 d=1 t=12144
guo zhe ge 	過這個	c=1 d=1 t=2306
ha 	哈	c=25 d=0.7642 t=12432
ha ha 	哈哈	c=1 d=1 t=6708
ha ha ha 	哈哈哈	c=3 d=0.600122 t=12432
ha ha ha ha 	哈哈哈哈	c=2 d=0.377466 t=12432
ha mu lei te 	哈姆雷特	c=1 d=1 t=2624
ha pi 	哈皮	c=5 d=1.05532 t=12432
hai 	海	c=5 d=1.25317 t=12432
hai 	還	c=21 d=1.25127 t=12432
hai bei 	還被	c=1 d=1 t=6457
hai bu 	還不	c=0 d=0.00393602 t=12432
hai bu yi ding 	還不一定	c=1 d=0.0395575 t=12432
hai cha 	還差	c=1 d=1 t=10816
hai gan 	還敢	c=1 d=1 t=6452
hai lai 	還來	c=1 d=1 t=5842
hai mei 	還沒	c=4 d=0.0366992 t=12432
hai mei ne 	還沒呢	c=1 d=1 t=4952
hai neng 	還能	c=5 d=1.3374 t=12432
hai pa 	害怕	c=1 d=1 t=4582
hai shi 	還是	c=23 d=1.91654 t=12432
hai shi shuo 	還是說	c=1 d=0.13332 t=12432
hai shuo 	還說	c=1 d=1 t=11440
hai xing 	還行	c=5 d=0.0444858 t=12432
hai yao 	還要	c=7 d=1.30269 t=12432
hai yao me 	還要麼	c=1 d=1 t=3074
hai yi 	還以	c=0 d=0.1 t=2364
hai yi wei 	還以爲	c=1 d=1 t=2365
hai you 	還有	c=8 d=1.64825 t=8763
hai zai 	還在	c=4 d=0.565525 t=12432
hai zei wang 	海賊王	c=2 d=1 t=9351
hai zhi neng 	還只能	c=1 d=1 t=9179
hai zi 	孩子	c=5 d=1 t=4968
hai zi shi 	孩子是	c=1 d=1 t=1338
han 	喊	c=1 d=0.418952 t=12432
han 	焊	c=1 d=1 t=2996
han 	韓	c=2 d=1.36422 t=5898
han guo 	韓國	c=1 d=1 t=5950
han lao shi 	韓老師	c=1 d=1 t=1728
han zhi hao 	韓志浩	c=3 d=1 t=8671
hang 	航	c=1 d=1 t=8066
hang 	行	c=1 d=1 t=2181
hang ye 	行業	c=2 d=1.03371 t=7658
hao 	好	c=39 d=0.759091 t=12432
hao 	浩	c=3 d=1.53526 t=11190
hao 	號	c=3 d=1.24649 t=11062
hao 	豪	c=2 d=0.100001 t=11934
hao ba 	好吧	c=10 d=0.516739 t=12432
hao bu 	毫不	c=0 d=0.1 t=7198
hao bu hao 	好不好	c=1 d=1 t=8367
hao bu yi wai 	毫不意外	c=1 d=1 t=7199
hao chu 	好處	c=2 d=0.404542 t=12432
hao chu me 	好處麼	c=1 d=1 t=4664
hao de 	好的	c=20 d=0.341302 t=12432
hao duo 	好多	c=0 d=0.1 t=5847
hao duo le 	好多了	c=2 d=1 t=8381
hao gan 	好感	c=1 d=1 t=2847
hao hao 	好好	c=4 d=0.0483156 t=12432
hao jia huo 	好傢伙	c=15 d=1.0641 t=12390
hao kan 	好看	c=3 d=0.0060205 t=12432
hao kan de 	好看的	c=1 d=0.0605068 t=12432
hao le 	好了	c=5 d=1 t=12347
hao le ma 	好了嘛	c=1 d=1 t=2778
hao ping 	好評	c=1 d=1 t=3336
hao ren 	好人	c=1 d=1.00109 t=4410
hao ren ka 	好人卡	c=1 d=1 t=3507
hao wan 	好玩	c=1 d=1 t=1808
hao xiang 	好像	c=9 d=1 t=11530
hao xiao 	好笑	c=0 d=0.019205 t=12432
hao ye 	好耶	c=6 d=0.677057 t=12432
hao yi 	好意	c=10 d=1.23244 t=12252
hao zai 	好在	c=1 d=1 t=8761
he 	何	c=3 d=1.2997 t=9227
he 	和	c=41 d=0.38868 t=12432
he 	核	c=1 d=1 t=10101
he cha 	喝茶	c=2 d=1.99501 t=1712
he li 	合理	c=1 d=1 t=1692
he ni 	和你	c=1 d=1 t=7582
he pai 	合拍	c=1 d=1 t=11698
he ping 	和平	c=4 d=0.144424 t=12432
he ping jiang 	和平獎	c=1 d=1 t=5569
he wo 	和我	c=4 d=1.00025 t=11873
he xie 	和諧	c=1 d=1 t=2043
he xing 	和性	c=2 d=1.85214 t=1478
he yi ge 	和一個	c=1 d=1 t=4018
he zi 	盒子	c=1 d=1 t=5328
hei 	嘿	c=2 d=1 t=11492
hei 	黑	c=6 d=0.0341298 t=12432
hei 	黒	c=6 d=1.1385 t=7771
hei chan 	黑產	c=1 d=1 t=5124
hei li shi 	黑歷史	c=1 d=0.343009 t=12432
hen 	很	c=26 d=0.802519 t=12432
hen bao qian 	很抱歉	c=1 d=1 t=2889
hen bu 	很不	c=0 d=0.0131336 t=12432
hen bu he shi 	很不合適	c=1 d=1 t=5999
hen bu li mao 	很不禮貌	c=1 d=0.131994 t=12432
hen can 	很慘	c=2 d=1 t=11657
hen da 	很大	c=1 d=1 t=12081
hen dong 	很懂	c=1 d=1 t=9440
